,logick_number,open,close,run_date
639,592,270.899994,270.429993,2018-03-21
640,1172,267.910004,263.670013,2018-03-22
641,288,262.130005,265.109985,2018-03-26
642,566,266.170013,260.600006,2018-03-27
643,244,260.75,259.829987,2018-03-28
644,245,261.119995,263.149994,2018-03-29
645,330,262.549988,257.470001,2018-04-02
646,148,258.869995,260.769989,2018-04-03
647,96,256.75,263.559998,2018-04-04
648,180,265.549988,265.640015,2018-04-05
649,146,261.369995,261.0,2018-04-09
650,123,264.269989,265.149994,2018-04-10
651,129,263.470001,263.76001,2018-04-11
652,169,265.26001,265.929993,2018-04-12
653,142,267.0,267.329987,2018-04-16
654,149,269.329987,270.190002,2018-04-17
655,210,270.690002,270.390015,2018-04-18
656,394,269.649994,268.890015,2018-04-19
657,743,267.26001,266.570007,2018-04-23
658,756,267.730011,262.980011,2018-04-24
659,462,262.910004,263.630005,2018-04-25
660,386,264.790009,266.309998,2018-04-26
661,449,267.26001,264.51001,2018-04-30
662,374,263.869995,264.980011,2018-05-01
663,404,264.76001,263.200012,2018-05-02
664,248,262.26001,262.619995,2018-05-03
665,171,266.890015,266.920013,2018-05-07
666,188,266.5,266.920013,2018-05-08
